"status","meta_product_id","name","slug","rating","review_count","genre","source_image_url","blocking_issues","warnings"
"blocked","24696055850016802","GRO","gro","4.8","12266","플랫폼 게임","","missing_thumbnail",""
"blocked","26809008098700102","BEAST ARMS","beast-arms","4.8","12092","슈팅 게임","","missing_thumbnail",""
"blocked","9862837387168749","Lethal Ape Deluxe","lethal-ape-deluxe","4.9","11991","플랫폼 게임","","missing_thumbnail",""
"blocked","5754014731339882","MotoX","motox","4.7","11734","스포츠","","missing_thumbnail",""
"blocked","9016339138445993","Lethal Ape 2","lethal-ape-2","4.9","11701","플랫폼 게임","","missing_thumbnail",""
"blocked","5635852399856124","Monkey Doo","monkey-doo","4.6","10915","슈팅 게임","","missing_thumbnail",""
"blocked","7777321829011683","ChicKing Dead","chicking-dead","4.8","10651","슈팅 게임","","missing_thumbnail",""
"blocked","9425078717597141","Ear Game","ear-game","4.8","10276","플랫폼 게임","","missing_thumbnail",""
"blocked","6845832862203652","Smash Room VR","smash-room-vr","4.7","10252","슈팅 게임","","missing_thumbnail",""
"duplicate","24988696354163011","Lethal Ape","lethal-ape-24988696354163011","4.9","9903","플랫폼 게임","","missing_thumbnail","slug_adjusted"
"blocked","5817303821616533","Penguin Paradise","penguin-paradise","4.3","9445","플랫폼 게임","","missing_thumbnail",""
"blocked","25483831577871553","OG Lethal Ape MODS","og-lethal-ape-mods","4.8","9415","플랫폼 게임","","missing_thumbnail",""
"blocked","7275543385800661","OG EGG VR TITAN","og-egg-vr-titan","4.6","9277","슈팅 게임","","missing_thumbnail",""
"blocked","5407386572706843","Noclip VR","noclip-vr","4.5","8889","액션","","missing_thumbnail",""
"blocked","9627096030748269","Stupid Chimp Slop","stupid-chimp-slop","4.8","8865","플랫폼 게임","","missing_thumbnail",""
"blocked","5409297455797322","Capuchin","capuchin","4.2","8721","플랫폼 게임","","missing_thumbnail",""
"blocked","9972710149415118","Monsters and Mazes Backrooms","monsters-and-mazes-backrooms","4.8","8682","플랫폼 게임","","missing_thumbnail",""
"blocked","29249003638032341","Off Track VR","off-track-vr","4.7","8299","샌드박스","","missing_thumbnail",""
"blocked","8037813306285913","Gandys Nextbots","gandys-nextbots","4.8","8173","플랫폼 게임","","missing_thumbnail",""
"blocked","9121280154639969","Worst Food Truck - Cooking game","worst-food-truck-cooking-game","4.7","8104","샌드박스","","missing_thumbnail",""
"blocked","25514962028187850","Lethal Ape Deluxe Ultra Mods","lethal-ape-deluxe-ultra-mods","4.7","7991","액션","","missing_thumbnail",""
"blocked","8562631313821906","Fros","fros","4.8","7948","격투","","missing_thumbnail",""
"blocked","7181769438517329","Orion Drift","orion-drift","4","7803","플랫폼 게임","","missing_thumbnail",""
"blocked","24548630668106067","Tag before Dawn","tag-before-dawn","4.7","7703","플랫폼 게임","","missing_thumbnail",""
"blocked","3594982710558708","Zenith: Nexus","zenith-nexus","4.2","7370","롤플레잉","","missing_thumbnail",""
"blocked","29822556324056955","Forever Pets","forever-pets","4.9","7342","샌드박스","","missing_thumbnail",""
"blocked","24997206943270464","CreepyBaboon","creepybaboon","4.9","6991","플랫폼 게임","","missing_thumbnail",""
"blocked","24491742630507427","BREACH","breach","4.8","6815","플랫폼 게임","","missing_thumbnail",""
"blocked","7804019456313851","Horror Free","horror-free","4.7","6626","어드벤처","","missing_thumbnail",""
"blocked","24749356794676098","Lethal Ape Ultra","lethal-ape-ultra","4.9","6594","플랫폼 게임","","missing_thumbnail",""
"duplicate","26271356395816252","Lethal Ape","lethal-ape-26271356395816252","4.8","6363","플랫폼 게임","","missing_thumbnail","slug_adjusted"
"blocked","8926069107454260","OG Fun Monke Horror","og-fun-monke-horror","4.2","5962","플랫폼 게임","","missing_thumbnail",""
"blocked","23963943953294730","Lethal Animal","lethal-animal","4.7","5934","플랫폼 게임","","missing_thumbnail",""
"blocked","8810972189011254","Twenty Guys – Early Access","twenty-guys-early-access","4.9","5638","아케이드","","missing_thumbnail",""
"blocked","996016406703860","Flunklug","flunklug","4.9","5596","플랫폼 게임","","missing_thumbnail",""
"blocked","27091149583865041","Gorilla Warzone","gorilla-warzone","4.7","5489","슈팅 게임","","missing_thumbnail",""
"blocked","1187714281084963","Scary Baboon MODS","scary-baboon-mods","4.7","5448","플랫폼 게임","","missing_thumbnail",""
"blocked","4307257289362025","Gun World VR","gun-world-vr","4.3","5414","슈팅 게임","","missing_thumbnail",""
"blocked","24012525575000818","Animal Guys","animal-guys","4.7","5338","플랫폼 게임","","missing_thumbnail",""
"blocked","25957856700542611","Facility Baboon","facility-baboon","4.9","5296","플랫폼 게임","","missing_thumbnail",""
"blocked","24474398975542516","PICKABOOM","pickaboom","4.8","4967","슈팅 게임","","missing_thumbnail",""
"blocked","4528497603918074","Gorilla Soccer","gorilla-soccer","4.6","4757","플랫폼 게임","","missing_thumbnail",""
"blocked","32802413069401898","O2 the Forest","o2-the-forest","4.8","4635","플랫폼 게임","","missing_thumbnail",""
"blocked","8983046065094463","Climberz","climberz","4.4","4591","아케이드","","missing_thumbnail",""
"blocked","29030239516575272","We Are Soccer","we-are-soccer","4.8","4579","샌드박스","","missing_thumbnail",""
"blocked","24312369968435461","Court of Awe - EA Available Now","court-of-awe-ea-available-now","4.8","4555","플랫폼 게임","","missing_thumbnail",""
"blocked","1218791921314709","I Am Chameleon","i-am-chameleon","4.7","4246","플랫폼 게임","","missing_thumbnail",""
"blocked","25967502812884505","Blud Slop","blud-slop","4.9","4183","플랫폼 게임","","missing_thumbnail",""
"blocked","25500837289602257","Tower of Monkey","tower-of-monkey","4.5","4134","플랫폼 게임","","missing_thumbnail",""
"blocked","8476561809049952","Moke Horror","moke-horror","4.9","3946","플랫폼 게임","","missing_thumbnail",""
"blocked","23971701229124193","Gorilla Game","gorilla-game","4.9","3904","플랫폼 게임","","missing_thumbnail",""
"blocked","25106457802334660","Guardian of Realms","guardian-of-realms","4.6","3812","격투","","missing_thumbnail",""
"blocked","4640272592706957","Wadality","wadality","4.8","3708","슈팅 게임","","missing_thumbnail",""
"blocked","3070239359662935","Hyper Dash","hyper-dash","4.5","3689","슈팅 게임","","missing_thumbnail",""
"blocked","9247339018720745","OverLoad","overload","4.7","3621","슈팅 게임","","missing_thumbnail",""
"blocked","26535121336160120","iGore Lab Assistant","igore-lab-assistant","4.8","3605","샌드박스","","missing_thumbnail",""
"blocked","4518172508241377","X8","x8","4.7","3529","슈팅 게임","","missing_thumbnail",""
"blocked","8390456747663346","Cube Runners","cube-runners","3.9","3484","플랫폼 게임","","missing_thumbnail",""
"blocked","2082595615120854","Bait!","bait","4","3447","소셜","","missing_thumbnail",""
